

Sg		Krg		Kro		Pcog
 0.000000	0.000000	1.000000	0.000000
 0.025000	0.000000	0.912530	0.000000
 0.050000	0.000000	0.830041	0.000000
 0.075000	0.000000	0.752410	0.000000
 0.100000	0.000001	0.679518	0.000000
 0.125000	0.000007	0.611238	0.000000
 0.150000	0.000031	0.547448	0.000000
 0.175000	0.000093	0.488020	0.000000
 0.200000	0.000232	0.432827	0.000000
 0.225000	0.000501	0.381737	0.000000
 0.250000	0.000977	0.334621	0.000000
 0.275000	0.001760	0.291345	0.000000
 0.300000	0.002980	0.251773	0.000000
 0.325000	0.004800	0.215767	0.000000
 0.350000	0.007416	0.183188	0.000000
 0.375000	0.011065	0.153893	0.000000
 0.400000	0.016028	0.127737	0.000000
 0.425000	0.022631	0.104573	0.000000
 0.450000	0.031250	0.084248	0.000000
 0.475000	0.042315	0.066609	0.000000
 0.500000	0.056314	0.051496	0.000000
 0.525000	0.073794	0.038746	0.000000
 0.550000	0.095367	0.028191	0.000000
 0.575000	0.121716	0.019658	0.000000
 0.600000	0.153590	0.012965	0.000000
 0.625000	0.191818	0.007925	0.000000
 0.650000	0.237305	0.004338	0.000000
 0.675000	0.291038	0.001995	0.000000
 0.700000	0.354093	0.000668	0.000000
 0.725000	0.427631	0.000103	0.000000
 0.750000	0.512909	0.000000	0.000000
 0.775000	0.611280	0.000000	0.000000
 0.800000	0.724196	0.000000	0.000000
 0.825000	0.853215	0.000000	0.000000
 0.850000	1.000000	0.000000	0.000000

